rank,name,pos,posrank,team,round12,confidence,sleeper,cost,note,case
262,Pierre Strong Jr.,RB,RB83,CLE,Deep / waiver,Medium,,,,
263,Bub Means,WR,WR114,NO,Deep / waiver,Medium,,,,
264,Hassan Haskins,RB,RB84,LAC,Deep / waiver,Medium,,,,
265,Jake Tonges,TE,TE39,SF,Deep / waiver,Medium,,,,
266,Xavier Restrepo,WR,WR115,TEN,Deep / waiver,Medium,,,,
267,Dylan Laube,RB,RB85,LV,Deep / waiver,Medium,,,,
268,Michael Penix Jr.,QB,QB29,ATL,Deep / waiver,Medium,,,,
269,Ray-Ray McCloud III,WR,WR116,ATL,Deep / waiver,Medium,,,,
270,Darnell Washington,TE,TE40,PIT,Deep / waiver,Medium,,,,
271,Audric Estime,RB,RB86,DEN,Deep / waiver,Medium,,,,
272,KeAndre Lambert-Smith,WR,WR117,LAC,Deep / waiver,Medium,,,,
273,Mecole Hardman,WR,WR118,GB,Deep / waiver,Medium,,,,
274,Brashard Smith,RB,RB87,KC,Deep / waiver,Medium,,,,
275,Luke Musgrave,TE,TE41,GB,Deep / waiver,Medium,,,,
276,Jacoby Brissett,QB,QB30,ARI,Deep / waiver,Medium,,,,
277,Jake Bobo,WR,WR119,SEA,Deep / waiver,Medium,,,,
278,Ty Johnson,RB,RB88,BUF,Deep / waiver,Medium,,,,
279,Malachi Corley,WR,WR120,NYJ,Deep / waiver,Medium,,,,
280,Tip Reiman,TE,TE42,ARI,Deep / waiver,Medium,,,,
281,Sione Vaki,RB,RB89,DET,Deep / waiver,Medium,,,,
282,Arian Smith,WR,WR121,NYJ,Deep / waiver,Medium,,,,
283,Michael Carter,RB,RB90,ARI,Deep / waiver,Medium,,,,
284,Deshaun Watson,QB,QB31,CLE,Deep / waiver,Medium,,,Named Cleveland's Week 1 starter by Todd Monken - a situation worth re-checking on draft day.,
285,DeMario Douglas,WR,WR122,NE,Deep / waiver,Medium,,,,
286,Colby Parkinson,TE,TE43,LAR,Deep / waiver,Medium,,,,
287,Jermaine Burton,WR,WR123,CIN,Deep / waiver,Medium,,,,
288,Israel Abanikanda,RB,RB91,NYJ,Deep / waiver,Medium,,,,
289,Sterling Shepard,WR,WR124,TB,Deep / waiver,Medium,,,,
290,Khalil Herbert,RB,RB92,IND,Deep / waiver,Medium,,,,
291,Brock Wright,TE,TE44,DET,Deep / waiver,Medium,,,,
292,Kirk Cousins,QB,QB32,LV,Deep / waiver,Medium,,,The bridge in Las Vegas ahead of No. 1 overall pick Fernando Mendoza.,
293,Kameron Johnson,WR,WR125,TB,Deep / waiver,Medium,,,,
294,Elijah Mitchell,RB,RB93,SF,Deep / waiver,Medium,,,,
295,Tyler Scott,WR,WR126,CHI,Deep / waiver,Medium,,,,
296,Adam Trautman,TE,TE45,DEN,Deep / waiver,Medium,,,,
297,Deuce Vaughn,RB,RB94,DAL,Deep / waiver,Medium,,,,
298,Nikko Remigio,WR,WR127,KC,Deep / waiver,Medium,,,,
299,Tua Tagovailoa,QB,QB33,ATL,Deep / waiver,Medium,,,In an unresolved Atlanta competition with Michael Penix Jr.,
300,Rasheen Ali,RB,RB95,BAL,Deep / waiver,Medium,,,,
301,Brenden Rice,WR,WR128,LAC,Deep / waiver,Low,,,,
302,Foster Moreau,TE,TE46,NO,Deep / waiver,Low,,,,
303,Ashton Dulin,WR,WR129,IND,Deep / waiver,Low,,,,
304,Emari Demercado,RB,RB96,ARI,Deep / waiver,Low,,,,
305,Mason Tipton,WR,WR130,NO,Deep / waiver,Low,,,,
306,Tyler Conklin,TE,TE47,LAC,Deep / waiver,Low,,,,
307,Zamir White,RB,RB97,LV,Deep / waiver,Low,,,,
308,Fernando Mendoza,QB,QB34,LV,Deep / waiver,Low,,,,
309,KaVontae Turpin,WR,WR131,DAL,Deep / waiver,Low,,,,
310,Cody Schrader,RB,RB98,SF,Deep / waiver,Low,,,,
311,Justin Watson,WR,WR132,HOU,Deep / waiver,Low,,,,
312,Noah Fant,TE,TE48,CIN,Deep / waiver,Low,,,,
313,Chris Brooks,RB,RB99,GB,Deep / waiver,Low,,,,
314,Efton Chism III,WR,WR133,NE,Deep / waiver,Low,,,,
315,J.J. McCarthy,QB,QB35,MIN,Deep / waiver,Low,,,,
316,Chig Okonkwo,TE,TE49,TEN,Deep / waiver,Low,,,,
317,Junior Bergen,WR,WR134,SF,Deep / waiver,Low,,,,
318,Tyler Badie,RB,RB100,DEN,Deep / waiver,Low,,,,
319,Jonathan Mingo,WR,WR135,DAL,Deep / waiver,Low,,,,
320,Bam Knight,RB,RB101,NYG,Deep / waiver,Low,,,,
321,Jonnu Smith,TE,TE50,PIT,Deep / waiver,Low,,,,
322,Kaden Prather,WR,WR136,WAS,Deep / waiver,Low,,,,
323,Kalel Mullings,RB,RB102,TEN,Deep / waiver,Low,,,,
324,Shedeur Sanders,QB,QB36,CLE,Deep / waiver,Low,,,,
325,Ainias Smith,WR,WR137,PHI,Deep / waiver,Low,,,,
326,Grant Calcaterra,TE,TE51,PHI,Deep / waiver,Low,,,,
327,Cam Akers,RB,RB103,MIN,Deep / waiver,Low,,,,
328,Tim Patrick,WR,WR138,DET,Deep / waiver,Low,,,,
329,Dareke Young,WR,WR139,SEA,Deep / waiver,Low,,,,
330,Blake Watson,RB,RB104,DEN,Deep / waiver,Low,,,,
331,Josh Whyle,TE,TE52,TEN,Deep / waiver,Low,,,,
332,Ty Simpson,QB,QB37,LAR,Deep / waiver,Low,,,,
333,Jalen Cropper,WR,WR140,MIA,Deep / waiver,Low,,,,
334,Jordan James,RB,RB105,SF,Deep / waiver,Low,,,,
335,Nick Westbrook-Ikhine,WR,WR141,MIA,Deep / waiver,Low,,,,
336,Damien Martinez,RB,RB106,SEA,Deep / waiver,Low,,,,
337,Ja'Tavion Sanders,TE,TE53,CAR,Deep / waiver,Low,,,,
338,Trenton Irwin,WR,WR142,CIN,Deep / waiver,Low,,,,
339,Jalen Milroe,QB,QB38,SEA,Deep / waiver,Low,,,,
340,Kyle Juszczyk,RB,RB107,SF,Deep / waiver,Low,,,,
341,Tyquan Thornton,WR,WR143,KC,Deep / waiver,Low,,,,
342,Elijah Higgins,TE,TE54,ARI,Deep / waiver,Low,,,,
343,Isaiah Bond,WR,WR144,CLE,Deep / waiver,Low,,,,
344,Raheem Mostert,RB,RB108,LV,Deep / waiver,Low,,,,
345,Chris Tyree,WR,WR145,BAL,Deep / waiver,Low,,,,
346,LeQuint Allen,RB,RB109,JAX,Deep / waiver,Low,,,,
347,Zack Kuntz,TE,TE55,NYJ,Deep / waiver,Low,,,,
348,Spencer Rattler,QB,QB39,NO,Deep / waiver,Low,,,,
349,Devin Duvernay,WR,WR146,JAX,Deep / waiver,Low,,,,
350,Phil Mafah,RB,RB110,DAL,Deep / waiver,Low,,,,
351,David Moore,WR,WR147,CAR,Deep / waiver,Low,,,,
352,Jared Wiley,TE,TE56,KC,Deep / waiver,Low,,,,
353,Marcus Yarns,RB,RB111,DAL,Deep / waiver,Low,,,,
354,Braylon Allen,WR,WR148,NYG,Deep / waiver,Low,,,,
355,Dillon Gabriel,QB,QB40,CLE,Deep / waiver,Low,,,,
356,Jarveon Howard,RB,RB112,CIN,Deep / waiver,Low,,,,
357,Zay Jones,WR,WR149,ARI,Deep / waiver,Low,,,,
358,Jalin Conyers,TE,TE57,GB,Deep / waiver,Low,,,,
359,Greg Dortch,WR,WR150,ARI,Deep / waiver,Low,,,,
360,Ulysses Bentley IV,RB,RB113,NO,Deep / waiver,Low,,,,
361,Simi Fehoko,WR,WR151,LAC,Deep / waiver,Low,,,,
362,Cade Stover,TE,TE58,HOU,Deep / waiver,Low,,,,
363,Kaytron Allen,RB,RB114,PIT,Deep / waiver,Low,,,,
364,Tanner McKee,QB,QB41,PHI,Deep / waiver,Low,,,,
365,Ja'Lynn Polk,WR,WR152,NE,Deep / waiver,Low,,,,
366,Justice Ellison,RB,RB115,CAR,Deep / waiver,Low,,,,
367,Josh Reynolds,WR,WR153,MIN,Deep / waiver,Low,,,,
368,Will Dissly,TE,TE59,LAC,Deep / waiver,Low,,,,
369,Corey Kiner,RB,RB116,LAR,Deep / waiver,Low,,,,
370,Robert Woods,WR,WR154,PIT,Deep / waiver,Low,,,,
371,Jake Browning,QB,QB42,CIN,Deep / waiver,Low,,,,
372,Malik Heath,WR,WR155,GB,Deep / waiver,Low,,,,
373,Dawson Knox,TE,TE60,BUF,Deep / waiver,Low,,,,
374,Jacardia Wright,RB,RB117,NE,Deep / waiver,Low,,,,
375,Michael Gallup,WR,WR156,ATL,Deep / waiver,Low,,,,
376,Ty Chandler,RB,RB118,MIN,Deep / waiver,Low,,,,
377,Tucker Fisk,TE,TE61,MIN,Deep / waiver,Low,,,,
378,Tyler Johnson,WR,WR157,LAR,Deep / waiver,Low,,,,
379,Dameon Pierce,RB,RB119,HOU,Deep / waiver,Low,,,,
380,Mac Jones,QB,QB43,SF,Deep / waiver,Low,,,,
381,Kendrick Bourne,WR,WR158,NE,Deep / waiver,Low,,,,
382,Nick Chubb,RB,RB120,HOU,Deep / waiver,Low,,,,
383,Johnny Mundt,TE,TE62,MIN,Deep / waiver,Low,,,,
384,Van Jefferson,WR,WR159,TEN,Deep / waiver,Low,,,,
385,Parris Campbell,WR,WR160,PHI,Deep / waiver,Low,,,,
386,Kenny McIntosh,RB,RB121,SEA,Deep / waiver,Low,,,,
387,Aidan O'Connell,QB,QB44,LV,Deep / waiver,Low,,,,
388,Gerald Everett,TE,TE63,CHI,Deep / waiver,Low,,,,
389,Jamari Thrash,WR,WR161,CLE,Deep / waiver,Low,,,,
390,Tyrion Davis-Price,RB,RB122,NE,Deep / waiver,Low,,,,
391,Casey Washington,WR,WR162,ATL,Deep / waiver,Low,,,,
392,Jase McClellan,RB,RB123,ATL,Deep / waiver,Low,,,,
393,Durham Smythe,TE,TE64,CHI,Deep / waiver,Low,,,,
394,Xavier Gipson,WR,WR163,NYJ,Deep / waiver,Low,,,,
395,Jarrett Stidham,QB,QB45,DEN,Deep / waiver,Low,,,,
396,Carson Steele,RB,RB124,KC,Deep / waiver,Low,,,,
397,Tejhaun Palmer,WR,WR164,ARI,Deep / waiver,Low,,,,
398,Stone Smartt,TE,TE65,LAC,Deep / waiver,Low,,,,
399,Bo Melton,WR,WR165,GB,Deep / waiver,Low,,,,
400,Miles Sanders,RB,RB125,DAL,Deep / waiver,Low,,,,
401,Charlie Jones,WR,WR166,CIN,Deep / waiver,Low,,,,
402,Salvon Ahmed,RB,RB126,MIA,Deep / waiver,Low,,,,
403,Cooper Rush,QB,QB46,BAL,Deep / waiver,Low,,,,
404,Brevyn Spann-Ford,TE,TE66,DAL,Deep / waiver,Low,,,,
405,Ricky White III,WR,WR167,LV,Deep / waiver,Low,,,,
406,Dare Ogunbowale,RB,RB127,HOU,Deep / waiver,Low,,,,
407,Isaiah Williams,WR,WR168,DET,Deep / waiver,Low,,,,
408,Luke Schoonmaker,TE,TE67,DAL,Deep / waiver,Low,,,,
409,Terrell Jennings,RB,RB128,JAX,Deep / waiver,Low,,,,
410,Dominic Lovett,WR,WR169,DET,Deep / waiver,Low,,,,
411,Gardner Minshew,QB,QB47,KC,Deep / waiver,Low,,,,
412,Nate Carter,RB,RB129,NYG,Deep / waiver,Low,,,,
413,Jordan Whittington,WR,WR170,LAR,Deep / waiver,Low,,,,
414,Michael Rigerman,TE,TE68,NYG,Deep / waiver,Low,,,,
415,Britain Covey,WR,WR171,LAR,Deep / waiver,Low,,,,
416,Gary Brightwell,RB,RB130,NYG,Deep / waiver,Low,,,,
417,Skyy Moore,WR,WR172,SF,Deep / waiver,Low,,,,
418,Daniel Bellinger,TE,TE69,NYG,Deep / waiver,Low,,,,
419,Isaiah Davis,RB,RB131,NYJ,Deep / waiver,Low,,,,
420,Joe Milton III,QB,QB48,DAL,Deep / waiver,Low,,,,
421,Tommy Mellott,WR,WR173,LV,Deep / waiver,Low,,,,
422,Patrick Taylor Jr.,RB,RB132,NYJ,Deep / waiver,Low,,,,
423,Traeshon Holden,WR,WR174,LV,Deep / waiver,Low,,,,
424,Erick All Jr.,TE,TE70,CIN,Deep / waiver,Low,,,,
425,Jawhar Jordan,RB,RB133,IND,Deep / waiver,Low,,,,
426,Konata Mumpfield,WR,WR175,ATL,Deep / waiver,Low,,,,
427,Elijhah Badger,WR,WR176,PHI,Deep / waiver,Low,,,,
428,George Holani,RB,RB134,SEA,Deep / waiver,Low,,,,
429,Devin Culp,TE,TE71,TB,Deep / waiver,Low,,,,
430,Chris Bell,WR,WR177,GB,Deep / waiver,Low,,,,
431,Hunter Luepke,RB,RB135,DAL,Deep / waiver,Low,,,,
432,Antwane Wells Jr.,WR,WR178,MIA,Deep / waiver,Low,,,,
433,Payne Durham,TE,TE72,TB,Deep / waiver,Low,,,,
434,Dillon Johnson,RB,RB136,SEA,Deep / waiver,Low,,,,
435,Jelani Woods,TE,TE73,NYG,Deep / waiver,Low,,,,
436,Tanner Hudson,TE,TE74,CIN,Deep / waiver,Low,,,,
437,Denver Broncos D/ST,DST,DST1,Denver Broncos,Deep / waiver,Low,,,,
438,Philadelphia Eagles D/ST,DST,DST2,Philadelphia Eagles,Deep / waiver,Low,,,,
439,Baltimore Ravens D/ST,DST,DST3,Baltimore Ravens,Deep / waiver,Low,,,,
440,Houston Texans D/ST,DST,DST4,Houston Texans,Deep / waiver,Low,,,,
441,Detroit Lions D/ST,DST,DST5,Detroit Lions,Deep / waiver,Low,,,,
442,Pittsburgh Steelers D/ST,DST,DST6,Pittsburgh Steelers,Deep / waiver,Low,,,,
443,Minnesota Vikings D/ST,DST,DST7,Minnesota Vikings,Deep / waiver,Low,,,,
444,Buffalo Bills D/ST,DST,DST8,Buffalo Bills,Deep / waiver,Low,,,,
445,Seattle Seahawks D/ST,DST,DST9,Seattle Seahawks,Deep / waiver,Low,,,,
446,Green Bay Packers D/ST,DST,DST10,Green Bay Packers,Deep / waiver,Low,,,,
447,Los Angeles Chargers D/ST,DST,DST11,Los Angeles Chargers,Deep / waiver,Low,,,,
448,Kansas City Chiefs D/ST,DST,DST12,Kansas City Chiefs,Deep / waiver,Low,,,,
449,Arizona Cardinals D/ST,DST,DST13,Arizona Cardinals,Deep / waiver,Low,,,,
450,San Francisco 49ers D/ST,DST,DST14,San Francisco 49ers,Deep / waiver,Low,,,,
451,Los Angeles Rams D/ST,DST,DST15,Los Angeles Rams,Deep / waiver,Low,,,,
452,Washington Commanders D/ST,DST,DST16,Washington Commanders,Deep / waiver,Low,,,,
453,New England Patriots D/ST,DST,DST17,New England Patriots,Deep / waiver,Low,,,,
454,Chicago Bears D/ST,DST,DST18,Chicago Bears,Deep / waiver,Low,,,,
455,Indianapolis Colts D/ST,DST,DST19,Indianapolis Colts,Deep / waiver,Low,,,,
456,Tampa Bay Buccaneers D/ST,DST,DST20,Tampa Bay Buccaneers,Deep / waiver,Low,,,,
457,Atlanta Falcons D/ST,DST,DST21,Atlanta Falcons,Deep / waiver,Low,,,,
458,Cleveland Browns D/ST,DST,DST22,Cleveland Browns,Deep / waiver,Low,,,,
459,Jacksonville Jaguars D/ST,DST,DST23,Jacksonville Jaguars,Deep / waiver,Low,,,,
460,New York Jets D/ST,DST,DST24,New York Jets,Deep / waiver,Low,,,,
461,Dallas Cowboys D/ST,DST,DST25,Dallas Cowboys,Deep / waiver,Low,,,,
462,Carolina Panthers D/ST,DST,DST26,Carolina Panthers,Deep / waiver,Low,,,,
463,Cincinnati Bengals D/ST,DST,DST27,Cincinnati Bengals,Deep / waiver,Low,,,,
464,Las Vegas Raiders D/ST,DST,DST28,Las Vegas Raiders,Deep / waiver,Low,,,,
465,New York Giants D/ST,DST,DST29,New York Giants,Deep / waiver,Low,,,,
466,Tennessee Titans D/ST,DST,DST30,Tennessee Titans,Deep / waiver,Low,,,,
467,New Orleans Saints D/ST,DST,DST31,New Orleans Saints,Deep / waiver,Low,,,,
468,Miami Dolphins D/ST,DST,DST32,Miami Dolphins,Deep / waiver,Low,,,,
469,Brandon Aubrey,K,K1,DAL,Deep / waiver,Low,,,Top-projected kicker at roughly 116 half-PPR points.,
470,Cameron Dicker,K,K2,LAC,Deep / waiver,Low,,,,
471,Ka'imi Fairbairn,K,K3,HOU,Deep / waiver,Low,,,"44-of-48 on field goals in 15 games, tying the single-season record.",
472,Cam Little,K,K4,JAX,Deep / waiver,Low,,,,
473,Jake Bates,K,K5,DET,Deep / waiver,Low,,,,
474,Chris Boswell,K,K6,PIT,Deep / waiver,Low,,,,
475,Tyler Loop,K,K7,BAL,Deep / waiver,Low,,,,
476,Jason Myers,K,K8,SEA,Deep / waiver,Low,,,,
477,Will Reichard,K,K9,MIN,Deep / waiver,Low,,,,
478,Jake Elliott,K,K10,PHI,Deep / waiver,Low,,,,
479,Harrison Butker,K,K11,KC,Deep / waiver,Low,,,,
480,Evan McPherson,K,K12,CIN,Deep / waiver,Low,,,,
481,Chase McLaughlin,K,K13,TB,Deep / waiver,Low,,,,
482,Wil Lutz,K,K14,DEN,Deep / waiver,Low,,,,
483,Tyler Bass,K,K15,BUF,Deep / waiver,Low,,,,
484,Daniel Carlson,K,K16,LV,Deep / waiver,Low,,,,
485,Matt Gay,K,K17,WAS,Deep / waiver,Low,,,,
486,Andres Borregales,K,K18,NE,Deep / waiver,Low,,,,
487,Cairo Santos,K,K19,CHI,Deep / waiver,Low,,,,
488,Brandon McManus,K,K20,GB,Deep / waiver,Low,,,,
489,Chad Ryland,K,K21,ARI,Deep / waiver,Low,,,,
490,Joshua Karty,K,K22,LAR,Deep / waiver,Low,,,,
491,Eddy Pineiro,K,K23,SF,Deep / waiver,Low,,,,
492,Spencer Shrader,K,K24,IND,Deep / waiver,Low,,,,
493,Dustin Hopkins,K,K25,CLE,Deep / waiver,Low,,,,
494,Graham Gano,K,K26,NYG,Deep / waiver,Low,,,,
495,Nick Folk,K,K27,NYJ,Deep / waiver,Low,,,,
496,Parker Romo,K,K28,ATL,Deep / waiver,Low,,,,
497,Blake Grupe,K,K29,NO,Deep / waiver,Low,,,,
498,Ryan Fitzgerald,K,K30,TEN,Deep / waiver,Low,,,,
499,Riley Patterson,K,K31,CAR,Deep / waiver,Low,,,,
500,Jason Sanders,K,K32,MIA,Deep / waiver,Low,,,,
